Account, Num Uppercase Chars Mean,Total Characters STD,Flesch Reading Ease Mean, Count Blanks STD,Coleman Liau Index Mean, Flesch Kincaid Grade Level STD,Smog Index Mean,Count Numbers Mean, Count Punctuations STD, Automated Readability Index STD,Count Special Characters STD,Linsear Write STD, Count Sentences STD, Count Unique Words STD,Flesch Kincaid Grade Level Mean, Num Uppercase Words Mean, Num lowercase Words Mean,Count Numbers STD,Count Sentences Mean,Gunning Fog STD,Linsear Write Mean,Num Lowercase Chars Mean, Num Uppercase Chars STD, Flesch Reading Ease STD, Average Words Length STD,Class
1578395316,7.681818182,44.51550477,67.07250446,5.959401212,34.44351875,4.227028341,7.207674254,1.590909091,3.789938834,8.019867499,3.789938834,0.514667182,0.715818898,5.588506505,3.636363636,0.545454545,6.727272727,1.800482029,1.181818182,10.28112997,0.900804246,44.36363636,6.831653358,38.27728933,5.724579226,1
1578638418,7.318181818,22.55356342,27.42828463,4.435255078,25.34933333,4.518099505,6.979601901,0.909090909,3.81059853,11.15838052,3.81059853,0.846485089,1.496552512,4.176874548,1.363636364,1.636363636,5.090909091,1.124483352,0.818181818,10.77093325,0.983567821,27.77272727,12.00525023,46.60719188,3.585436897,1
1579380864,0.833333333,18.24295907,26.36979167,3.277660073,10.73602137,3.223179934,4.081224379,0.25,3.248931448,5.931654104,3.248931448,0.519490939,1.114924013,3.277660073,-1.333333333,0.083333333,3.916666667,0.595119036,0.416666667,0.5,0.430128205,16.5,1.67497927,59.46700929,1.246945548,1
1580923315,4.916666667,19.9888858,32.04388258,2.677063067,18.16907323,1.299038106,6.461535327,0.25,2.396467307,6.365341306,2.396467307,0.51898939,1.753963765,2.808716591,0.25,0.75,4.583333333,0.595119036,0.916666667,2.60907991,0.889015151,23.75,6.157087154,46.42308175,1.390447077,1
1583243996,3.6,31.64506281,34.41700524,7.186793444,26.41493869,6.818357573,10.05349455,1.1,2.366431913,10.62570633,2.366431913,0.466865921,0.774596669,6.660330322,6.1,0.7,11.2,1.513274595,1,5.685842653,1.14039627,58.5,3.720215048,50.21194521,3.803026407,1
1585408250,6.25,27.65411362,66.70232143,4.582575695,22.33267857,2.738612788,8.841846275,0.75,2.861380786,3.93910864,2.861380786,0.328784869,0.707106781,4.20565096,2,0.5,6,0.829156198,1,1.031741148,1.017857143,30.75,3.269174208,43.73474322,1.102922544,1
1587037303,2.833333333,16.94480874,31.33485185,3.396167048,26.84015432,6.395648598,7.432853878,0.666666667,2.208289657,9.781080511,2.208289657,0.999894334,1.311158191,3.142696805,2.611111111,0.111111111,3.611111111,1,0.944444444,10.97879946,1.121252205,20.5,2.242270675,53.4569369,5.227448708,1
1587069900,8,33.48074073,114.1469762,9.046546302,13.15566032,2.481934729,4.744908652,1.2,2.059126028,4.475642623,2.059126028,0.368277922,1.6,7.605261337,-1.2,1.4,11.4,0.748331477,2.8,4.856166194,0.694880952,59.4,4.147288271,16.75672995,0.85342936,1
1587171373,1.3,20.4843843,58.7715,3.627671429,10.20206667,2.4,4.271649255,0.4,1.949358869,5.115796388,1.949358869,0.536020072,1.264911064,3.413209633,-1.2,0.4,4.9,0.916515139,1,0.344093011,0.59452381,21.2,1.846618531,60.64785323,0.942448392,1
1588473198,0.4,33.72298919,3.066549676,6.469157596,18.37005385,9.508417324,7.684838913,0.1,2.343074903,7.90861132,2.343074903,0.775391028,2.441311123,6.31585307,3.7,0,7.8,0.3,1.2,10.4456302,1.502692308,39.5,0.489897949,55.83244627,1.816105341,1
